источники;Sources;来源
количество обмоток;Number of windings;绕组数
обмотки с выводами в лево;Windings with leads to the lef;引线位于左侧​​的绕组
номинальные напряжения обмоток (rms), в;Rated winding voltages (rms), V;额定绕组电压（rms），V
индуктивности рассеяния обмоток [ll], г;Winding leakage inductance [Ll],;绕组漏感[Ll]，
активные сопротивления обмоток [r], ом;Winding resistances [R], Ohm;绕组电阻 [R]，欧姆
индуктивность и сопротивление ветви намагничивания [lm, rm], [гн, ом];Inductance and resistance of the magnetizing branch [Lm, Rm], [H, Ohm];磁化支路的电感和电阻 [Lm, Rm], [H, Ohm]
о.е.;o.u.;o.u.
эцс - трансформатор 3-фазный 2-обмоточный (12 выводов;ECS - Transformer 3-phase 2-winding (12 pins);ECS - 变压器 3 相 2 绕组（12 针）
эцс - трансформатор 3-фазный 2-обмоточный (1 л. сх.;ECS - Transformer 3-phase 2-winding (1 l. sh.);ECS - 三相 2 绕组变压器（1 l. sh.）
вывод нейтрали вн;HV neutral terminal;高压中性点端子
вывод нейтрали нн;LV neutral terminal;低压中性点端子
сопротивление ветви намагничивания [xm1, rm1], о.е.;Magnetization branch resistance [Xm1, Rm1], p.u.;磁化支路电阻 [Xm1, Rm1]，p.u.
сопротивление намагничивания нулевой последовательности [xm0, rm0], о.е.;Zero-sequence magnetization resistance [Xm0, Rm0], p.u.;零序磁化电阻 [Xm0, Rm0]，p.u.
сопротивление намагничивания прямой последовательности [xm1, rm1], о.е.;Positive sequence magnetizing resistance [Xm1, Rm1], p.u.;正序磁化电阻 [Xm1, Rm1]，p.u.
эцс - трансформатор 3-фазный 2-обмоточный с расщепленной обмоткой нн (1 л. сх.);ECS - Transformer 3-phase 2-winding with a split winding LV (1 l.sh.);ECS - 变压器 3 相 2 绕组，带分裂绕组 LV (1 l.sh.)
эцс - автотрансформатор силовой 3-фазный 3-обмоточный c рпн (1 л. сх.);ETsS - Autotransformer power 3-phase 3-winding with on-load tap changer (1 l.sh.;ETsS - 带有载分接开关的三相 3 绕组自耦变压器电源 (1 l.sh.)
эцс - выпрямитель 3-фазный (1 л. сх.;ECS - Rectifier 3-phase (1 l. sh.;ECS - 三相整流器（1 l.sh.）
эцс - инвертор автономный 3-фазный (1 л. сх.);ECS - Autonomous 3-phase inverter (1 hp);ECS - 自主三相逆变器（1 hp）
эцс - мультиметр;ECS - Multimeter;ECS - 万用表
ток комплексный (rms);Current complex (rms);电流复数 (rms)
ток (модуль, rms);Current (module, rms);电流（模块，有效值）
угол тока;Current angle;当前角度
напряжение комплексное (rms);Voltage complex (rms);电压复数 (rms)
напряжение (модуль, rms);Voltage (module, rms);电压（模块，有效值）
угол напряжения;Voltage angle;电压角
мощность активная;Active power;有功功率
мощность реактивная;Reactive power;无功功率
мощность полная;Full power;充满电
ток (inst);Current (inst);当前（实例）
напряжение (inst);Voltage (inst);电压（瞬时）
шаг дискретизации, с;Discretization step, s;离散化步长，s
эцс - измеритель линейных напряжений идеальный 3-фазный (1 л. сх.;ECS - Ideal 3-phase line voltage meter (1 hp;ECS - 理想的三相线电压表（1 hp
эцс - вольтметр идеальный 3-фазный (1 л. сх.);ETsS - ideal 3-phase voltmeter (1 l. sh.);ETsS - 理想的三相电压表（1 l. sh.）
эцс - вольтметр идеальный;ECS - ideal voltmeter;ECS-理想电压表
эцс - амперметр идеальный;ECS - ideal ammete;ECS-理想电流表
эцс - амперметр идеальный 3-фазный (1 л. сх.;ECS - ideal 3-phase ammeter (1 l. sh.;ECS - 理想的三相电流表（1 l.sh.）
эцс - источник тока 3-фазный (1 л. сх.;ECS - 3-phase current source (1 HP;ECS - 三相电流源（1 HP
действительная составляющая тока фазы a,;The real component of the phase A current,;A相电流的实部，
мнимая составляющая тока фазы a, а;Imaginary component of phase A current, A;A 相电流的虚部，A
задать ток через порт;Set current through port;通过端口设置电流
эцс - источник тока;ECS - Current source;ECS - 电流源
угол, эл.гр.;Angle, el.g;角度，例如
действительная составляющая тока, а;Real component of current, A;电流实部，A
мнимая составляющая тока, а;Imaginary current component, A;虚电流分量，A
эцс - источник напряжения;ECS - Voltage source;ECS - 电压源
действительная составляющая напряжения, в;Real component of voltage,;电压的实部，
мнимая составляющая напряжения, в;Imaginary voltage component,;虚部电压分量，
эцс - источник напряжения 3-фазный (1 л. сх.;ECS - 3-phase voltage source (1 HP);ECS - 三相电压源 (1 HP)
действительная составляющая напряжения фазы a,;Real component of phase A voltage, V;A 相电压实部，V
мнимая составляющая напряжения фазы a, в;Imaginary component of phase A voltage,;A相电压的虚部，
эцс - линия электропередачи 3-фазная (1 л. сх.;ECS - Power line 3-phase (1 l. sh.);ECS - 三相电源线（1 l. sh.）
схема секции;Section scheme;剖面图
п-секция;P-sectio;P型截面
удельное сопротивление прямой последовательности [r1, x1], ом/к;Positive sequence resistivity [r1, x1], Ohm/km;正序电阻率 [r1, x1], Ohm/km
удельное сопротивление нулевой последовательности [r0, x0], ом/к;Zero sequence resistivity [r0, x0], Ohm/km;零序电阻率 [r0, x0], Ohm/km
удельная проводимость прямой последовательности [g1, b1], см/к;Positive sequence conductivity [g1, b1], Sm/k;正序电导率 [g1, b1], Sm/k
удельная проводимость нулевой последовательности [g0, b0], см/к;Zero sequence conductivity [g0, b0], Sm/km;零序电导率[g0,b0],Sm/km
модель rms;rms model;有效值模型
активное сопротивление в ветвях конденсаторов, о;Active resistance in capacitor branches, Ohm;电容器支路的有源电阻，欧姆
число секций;Number of sections;节数
т-секция;T-section;T型截面
распределённые параметры;Distributed Options;分布式选项
эцс - линия электропередачи;ECS - Power line;ECS-电源线
удельная индуктивность, гн/км;Specific inductance, H/km;比电感，H/km
удельная ёмкость, ф/км;Specific capacity, f/k;比容量，f/k
удельное сопротивление утечки, ом·к;Specific leakage resistance, Ohm km;比漏电阻，Ohm·km
эцс - нагрузка статическая 3-фазная (p+jq, схн) управляемая (1 л. сх.;ECS - Static 3-phase load (P + jQ, SHN) controlled (1 l.sh.);ECS - 静态三相负载（P + jQ，SHN）控制（1 l.sh.）
номинальное напряжение (линейное, rms), в;Rated voltage (linear, rms), V;额定电压（线性，有效值），V
минимальное напряжение (линейное, rms), в;Minimum voltage (linear, rms), V;最小电压（线性，有效值），V
вид схемы замещения;Type of equivalent circuit;等效电路类型
последовательная;consistent;持续的
параллельная;parallel;平行线
эцс - нагрузка статическая (p+jq, схн) управляема;ECS - Static load (P + jQ, SHN) controlle;ECS - 静态负载（P + jASHN）控制器
эцс - нагрузка rlc 3-фазная (1 л. сх.);ECS - Load RLC 3-phase (1 HP);ECS - 负载 RLC 三相 (1 HP)
номинальная индуктивная реактивная мощность, ква;Rated inductive reactive power, kva;额定感性无功功率，kva
номинальная емкостная реактивная мощность, ква;Rated capacitive reactive power, kvar;额定容性无功功率，kvar
вид нагрузки;Type of load;负载类型
cопротивление, ом;Resistance, Ohm;电阻，欧姆
схема соединений;Connection diagram;连接图
эцс - нагрузка rlc;ECS - Load RLC;ECS - 负载 RLC
эцс - rl-цепь с взаимоиндукцией 3-фазная (1 л. сх.);ECS - RL-circuit with mutual induction 3-phase (1 l.sh.);ECS - 具有三相互感的 RL 电路 (1 l.sh.)
сопротивление прямой последовательности [x1, r1], о;Positive sequence resistance [X1, R1], Ohm;正序电阻[X1，R1]，欧姆
сопротивление нулевой последовательности [x0, r0], о;Zero sequence resistance [X0, R0], Oh;零序电阻[X0，R0]，Oh
эцс - rl-цепь с взаимоиндукцией (2-х контурная;ECS - RL-circuit with mutual induction (2-loop);ECS - 具有互感的 RL 电路（2 回路）
индуктивность и сопротивление 1-го контура [l1, r1], о;Inductance and resistance of the 1st circuit [L1, R1], Ohm;第一电路的电感和电阻[L1，R1]，欧姆
индуктивность и сопротивление 2-го контура [l2, r2], о;Inductance and resistance of the 2nd circuit [L2, R2], Ohm;第二电路的电感和电阻 [L2, R2]，欧姆
взаимная индуктивность и сопротивление [lm, rm], о;Mutual inductance and resistance [Lm, Rm], Oh;互感和电阻[Lm，Rm]，Oh
эцс - rlc-цепь 3-фазная (1 л. сх.;ECS - RLC-circuit 3-phase (1 l. sh.;ECS - RLC 电路 3 相（1 l.sh.）
эцс - rlc-цепь управляемая (rms-only;ECS - RLC-controlled circuit (rms-only;ECS - RLC 控制电路（仅 rms
коэффициенты пересчета тока и мощност;Current and power conversion factors;电流和功率转换系数
задать rlc через порты;Set RLC via ports;通过端口设置RLC
эцс - rlc-цепь;ECS - RLC circuit;ECS-RLC电路
эцс - контейнер метода расчёт;EDS - Calculation Method Container;EDS - 计算方法容器
в комплесных числах;In complex numbers;在复数中
эцс - параметры контура;ECS - Circuit parameters;ECS-电路参数
эцс - приёмник частоты;ECS - Frequency Receiver;ECS - 频率接收器
эцс - задатчик частоты;ECS - Frequency selector;ECS - 频率选择器
эцс - шина - преобразователь схемы 1 - 3 линейна;ECS - Bus - circuit converter 1 - 3 linea;ECS - 总线 - 电路转换器 1 - 3 线
эцс - нулевой потенциал 3-фазный (1 л. сх.;ECS - Zero potential 3-phase (1 HP);ECS - 零电位三相 (1 HP)
эцс - нулевой потенциал;ECS - Zero potential;ECS - 零电位
эц - четырёхполюсник;EC - Four-pole;EC - 四极
эц - вольтметр;EC - Voltmeter;EC-电压表
эц - амперметр;EC - Ammeter;EC-电流表
мнемосхема;mnemoni;助记符
эцд - rlc-цепь 3-фазная (1 л. сх.;ECD - RLC circuit 3-phase (1 l. sh.);ECD - RLC 电路 3 相（1 l. sh.）
основные;Mai;可能
эцд - rl-цепь с взаимоиндукцией (2-х контурная;ECD - RL-circuit with mutual induction (2-loop);ECD - 具有互感的 RL 电路（2 回路）
эцд - индуктивность нелинейная;ECD - Non-linear inductance;ECD - 非线性电感
способ задания характеристики;Characteristic setting method;特性设定方法
кусочно-линейная;piecewise linear;分段线性
а, вб;A, Wb;甲、白血球
ток [iμ];Current [iμ];电流[iμ]
потокосцепление [φ];Flux linkage [φ];磁链 [φ]
начальное потокосцепление;Initial flux linkage;初始磁链
эцд - нагрузка rlc;ECD - Load RL;ECD - 负载 RL
эцд - нагрузка rlc 3-фазная (1 л. сх.);ECD - Load RLC 3-phase (1 HP;ECD - 负载 RLC 三相（1 HP
эцд - фильтрокомпенсирующее устройство 3-фазное (1 л. сх.);ECD - 3-phase filter compensating device (1 l.sh.);ECD - 三相滤波器补偿装置 (1 l.sh.)
номинальные параметры;Ratings;评级
вид фильтра;Filter type;过滤器类型
узкополосный;narrowband;窄带
фильтруемая частота, гц;Filtered frequency, Hz;滤波频率，Hz
добротность фильтра;filter quality facto;过滤器品质因数
номинальная емкостная реактивная мощность, ва;Rated capacitive reactive power, var;额定容性无功功率，var
расчетная ёмкость c, ф;Estimated capacity C, F;预计容量C、F
расчетное сопротивление r, ом;Design resistance R, Ohm;设计电阻 R，欧姆
расчетная индуктивность l, гн;Estimated inductance L, H;估计电感L、H
задать параметры схемы замещения вручну;Set equivalent circuit parameters manually;手动设置等效电路参数
широкополосный;broadband;宽带
эцд - линия электропередачи;ECD - Power lin;ECD - 电源线
удельное сопротивление утечки, ом*к;Specific leakage resistance, Ohm*km;比漏电阻，Ohm*km
активное сопротивлние в ветвях кондерсаторов, ом;Active resistance in the branches of capacitors, Oh;电容器支路有源电阻，Oh
эцд - линия электропередачи 3-фазная (1 л. сх.;ECD - Power line 3-phase (1 l. sh.;ECD - 三相电源线（1 l.sh.
эцд - ограничитель перенапряжений нелинейный;ECD - Non-linear surge arrester;ECD - 非线性避雷器
одиноч. безынерц. схема;single inertialess scheme;单一无惯性方案
варистор ru1;Varistor RU1;压敏电阻RU1
массив коэффициентов p;Array of p coefficients;p 系数数组
массив показателей степени q;Array of exponents q;指数 q 数组
нормирующее напряжение, в;Normalizing voltage, V;归一化电压，V
ток начала линейности вах,;The current of the beginning of the linearity of the VAC, A;VAC 线性开始时的电流，A
одиноч. инерц. схема;single inertia scheme;单惯性方案
схема ieee;IEEE schem;IEEE方案
эцд - ограничитель перенапряжений нелинейный 3-фазный (1 л. сх.;ECD - Non-linear 3-phase surge arrester (1 hp;ECD - 非线性三相避雷器（1 hp
эцд - фотоэлемент полупроводниковый;ECD - Semiconductor photocel;ECD - 半导体光电管
число последовательно соединенных элементо;Number of series-connected elements;串联元件数
максимальная мощность (pmax), вт;Maximum power (Pmax), W;最大功率 (Pmax)，W
ток насыщения, а;Saturation current, A;饱和电流，A
коэффициент эмиссии;Emission facto;排放系数
последовательное сопротивление, ом;Series resistance, Ohm;串联电阻，欧姆
параллельное сопротивление, ом;Parallel resistance, Ohm;并联电阻，欧姆
температурные зависимости;Temperature dependencies;温度依赖性
параллельное сопротивление*, ом;Parallel resistance*, Ohm;并联电阻*，欧姆
ток при pmax, а;Current at Pmax, A;Pmax 时的电流，A
напряжение при pmax, в;Voltage at Pmax, V;Pmax 电压，V
напряжение холостого хода, в;Open circuit voltage, V;开路电压，V
ток насыщения*, а;Saturation current*, A;饱和电流*，A
коэффициент эмиссии*;Emission facto;排放系数
последовательное сопротивление*, ом;Series resistance*, Ohm;串联电阻*，欧姆
температурный коэффициент параллельного сопротивлени;Temperature coefficient of parallel resistance;并联电阻温度系数
номинальная температура, °c;Rated temperature, °C;额定温度，°C
температурный коэффициент тока короткого замыкания, %/k;Temperature coefficient of short circuit current, %/K;短路电流温度系数，%/K
температурный коэффициент тока насыщени;Temperature coefficient of saturation current;饱和电流温度系数
кремний;Silicon;硅
температурный коэффициент последовательного сопротивлени;Temperature coefficient of series resistance;串联电阻温度系数
арсенид галлия;gallium arsenide;砷化镓
эцд - аккумулятор электрический;ECD - Electric battery;ECD-电池
номинальная ёмкость, ач;Rated capacity, Ah;额定容量，Ah
разрядная характеристика;Discharge characteristic;放电特性
параметры постоянного подзаряда;Floating charge options;浮动充电选项
постоянная времени, с;Time constant, s;时间常数，s
коэффициент запаса ёмкости;Capacity safety facto;容量安全系数
ток при разряде длительностью t,;Current during discharge duration t,;放电持续时间 t 期间的电流，
ток постоянного подзаряда, а/(100 ач;Continuous charge current, A / (100 Ah;连续充电电流，A/（100 Ah
напряжение постоянного подзаряда, в;Constant charge voltage, V;恒定充电电压，V
эцд - измеритель линейных напряжений 3-фазный (1 л. сх.);ECD - Line voltage meter 3-phase (1 l.sh.;ECD - 三相线电压表（1 l.sh.）
эцд - вольтметр 3-фазный (1 л. сх.);ECD - Voltmeter 3-phase (1 HP);ECD - 三相电压表 (1 HP)
диод;Diode;二极管
тиристор;Thyristor;晶闸管
эцд - диод силовой (spice model);ECD - Power diode (spice model);ECD - 功率二极管（spice 模型）
сопротивление утечки перехода, о;Transition leakage resistance, Ohm;过渡漏电阻，欧姆
время переноса заряда, с;Charge transfer time, s;电荷转移时间，s
барьерная ёмкость при нулевом смещении,;Barrier capacitance at zero displacement,;零位移时的势垒电容，
контактная разность потенциалов, в;Contact potential difference, V;接触电位差，V
коэффициент плавности перехода;Smooth transition facto;平滑过渡系数
коэффициент нелинейности барьерной ёмкост;Barrier capacitance non-linearity coefficient;势垒电容非线性系数
ширина запрещенной зоны, эв;Band gap, eV;带隙，eV
коэффициенты температурной зависимости eg, [teg1, teg2];;Temperature dependence coefficients EG, [TEG1, TEG2]
температурный экспоненциальный коэффициент тока насыщения;Temperature exponential coefficient of saturation current;饱和电流温度指数系数
температурный коэффициент последовательного сопротивления, 1/°с;Temperature coefficient of series resistance, 1/°С;串联电阻温度系数，1/°С
обратное напряжение пробоя, в;Reverse breakdown voltage, V;反向击穿电压，V
начальный ток пробоя, а;Initial breakdown current,;初始击穿电流，
температурный коэффициент обратного напряжения пробоя, 1/°;Temperature coefficient of reverse breakdown voltage, 1/°С;反向击穿电压温度系数，1/°С
номинальная температура, °с;Rated temperature, °С;额定温度，°С
dc режим;DC mode;直流模式
эцд - транзистор биполярный силовой (bjt) (инерционный;ECD - Bipolar power transistor (BJT) (inertial);ECD - 双极功率晶体管 (BJT)（惯性）
структура;Structur;结构
коэффициент усиления тока в нормальном режиме в схеме с о;Current amplification factor in normal mode in a circuit with O;O 电路正常模式下的电流放大系数
коэффициент эмиссии для нормального режима;Emission factor for normal mod;正常模式的排放因子
напряжение эрли в нормальном режиме, в;Early voltage in normal mode;正常模式下的早期电压
ток начала спада зависимости bf от тока коллектора в нормальном режиме, а;The current of the beginning of the decay of the dependence of BR on the emitter current in the inverse mode,;反模式下 BR 对发射极电流的依赖性衰减开始时的电流，
ток насыщения утечки перехода база-эмиттер, а;Base-collector transition leakage saturation current, A;基极-集电极过渡漏饱和电流，A
коэффициент эмиссии тока утечки перехода база-эмиттер;Base-collector junction leakage current emission factor;基极-集电极结漏电流发射因子
коэффициент усиления тока в инверсном режиме в схеме с оэ;Current amplification factor in inverse mode in a circuit with OE;具有 OE 的电路中反模式电流放大系数
коэффициент эмиссии для инверсного режима;Emission factor for inverse mod;逆模排放因子
напряжение эрли в инверсном режиме, в;Early voltage in inverse mode, V;反相模式下的早期电压，V
ток начала спада зависимости br от тока эмиттера в инверсном режиме, а;The current of the beginning of the decay of the dependence of BR on the emitter current in the inverse mode,;反模式下 BR 对发射极电流的依赖性衰减开始时的电流，
ток насыщения утечки перехода база-коллектор, а;Base-collector transition leakage saturation current, A;基极-集电极过渡漏饱和电流，A
коэффициент эмиссии тока утечки перехода база-коллектор;Base-collector junction leakage current emission factor;基极-集电极结漏电流发射因子
сопротивление коллектора, ом;Collector resistance, Ohm;集电极电阻，欧姆
сопротивление эмиттера, ом;Emitter resistance, Oh;发射极电阻，Oh
сопротивление базы (максимальное), ом;Base resistance (maximum), Ohm;基极电阻（最大），欧姆
минимальное сопротивление базы при больших токах, о;Minimum base resistance at high currents, Ohm;高电流下的最小基极电阻，欧姆
ток базы, при котором rb уменьшается на 50% полного перепада между rb и rbm, а;Base current at which RB is reduced by 50% of the total difference between RB and RBM, A;RB 减少 RB 与 RBM 之间总差值 50% 时的基极电流，A
время переноса заряда через базу в активном режиме, сек;Charge transfer time through the base in active mode, sec;主动模式下通过底座的电荷传输时间，秒
ток, характеризующий зависимость tf от тока коллектора при больших токах, а;Current characterizing the dependence of TF on the collector current at high currents, A;电流表征高电流下 TF 对集电极电流的依赖性，A
напряжение, характеризующее зависимость tf от смещения база-коллектор, в;Voltage characterizing the dependence of TF on the base-collector bias, V;表征 TF 对基极-集电极偏置 V 依赖性的电压
коэффициент, определяющий зависимость tf от смещения база-коллектор;Coefficient that determines the dependence of TF on the base-collector offset;确定 TF 对基极-集电极偏移的依赖性的系数
время переноса заряда через базу в инверсном режиме, се;Charge transfer time through the base in inverse mode, se;反模式下通过基极的电荷转移时间，se
емкость коллекторного перехода,;Collector junction capacitance,;集电极结电容，
коэффициент плавности коллекторного переход;Collector junction smoothness factor;集电极结平滑系数
контактная разность потенциалов коллекторного перехода, в;Contact potential difference of the collector junction, V;集电极结接触电位差，V
емкость эмиттерного перехода, ф;Emitter junction capacitance,;发射极结电容，
коэффициент плавности эмиттерного перехода;The coefficient of smoothness of the emitter transition;发射极过渡的平滑系数
контактная разность потенциалов эмиттерного перехода, в;Contact potential difference of the emitter junction, V;发射结接触电位差，V
коэффициент нелинейности барьерных емкостей прямосмещённых переходов;Nonlinearity coefficient of barrier capacitances of forward-biased junctions;正向偏置结势垒电容的非线性系数
температурный коэффициент коэффициентов усиления bf и br, 1/°с;Temperature coefficient of gains BF and BR, 1/°;增益 BF 和 BR 的温度系数，1/°
температурный экспоненциальный коэффициент тока насыщения i;Temperature exponential coefficient of saturation current IS;饱和电流温度指数系数 IS
эцд - транзистор полевой силовой (mosfet n-channel) (инерционный;ECD - Field power transistor (MOSFET n-channel) (inertial);ECD - 场功率晶体管（MOSFET n 沟道）（惯性）
пороговое напряжение, в;Threshold voltage, V;阈值电压，V
параметр модуляции длины канал;Channel Length Modulation Parameter;通道长度调制参数
коэффициент пропорциональности;Proportionality factor;比例系数
сопротивление истока, ом;Source resistance, Ohm;源电阻，欧姆
сопротивление стока, ом;Drain resistance, Ohm;漏极电阻，欧姆
сопротивление затвора, ом;Gate resistance, Oh;栅极电阻，哦
сопротивление утечки сток-исток, о;Drain-source leakage resistance, Oh;漏源漏电阻，Oh
поверхностный потенциал сильной инверсии, в;;Surface potential of strong inversion, V
температурный экспоненциальный коэффициент для bet;Temperature exponential coefficient for BETA;BETA 的温度指数系数
температурный коэффициент порогового напряжения, 1/°с;Temperature coefficient of threshold voltage, 1/°C;阈值电压温度系数，1/°C
ёмкости;Capacities;产能
параметры диода;Diode parameter;二极管参数
ёмкость оксидного слоя затвора, ф;Gate oxide capacitance, F;栅氧化层电容，F
модель емкостей;Capacity model;容量型号
напряжение сток-исток [uds], в;Drain-source voltage [Uds], V;漏源电压 [Uds]，V
входная ёмкость [ciss], ф;Input capacitance [Ciss], F;输入电容 [Ciss], F
выходная ёмкость [coss], ф;Output capacitance [Coss],;输出电容[Coss]，
обратная переходная ёмкость [crss],;Reverse transfer capacitance [Crss],;反向传输电容[Crss]，
эцд - транзистор igbt (n-channel) (инерционный, mosfet + bjt);ECD - Transistor IGBT (n-channel) (slow, MOSFET + BJT);ECD - 晶体管 IGBT（n 沟道）（慢速，MOSFET + BJT）
параметры mosfet;MOSFET parameters;MOSFET参数
параметры bjt;BT parameter;蓝牙参数
общее сопротивление в цепи эмиттера, о;Total resistance in the emitter circuit, Oh;发射极电路中的总电阻，Oh
эцд - трансформатор 1-фазный многообмоточны;ECD - Transformer 1-phase multi-winding;ECD - 变压器 1 相多绕组
таблица iμ(φ);iμ(φ) table;iμ(φ)表
потокосцепление [φ], вб;Flux linkage [φ], Wb;磁链 [φ]，Wb
ток [iμ], а;Current [iμ], A;电流 [iμ]，A
эцд - трансформатор 3-фазный 2-обмоточный (1 л. сх.;ECD - Transformer 3-phase 2-winding (1 l. sh.);ECD - 三相 2 绕组变压器（1 l. sh.）
полином iμ(φ);polynomial iμ(φ;多项式 iμ(f
способ задания характеристики намагничивания;Method for setting the magnetizing characteristic;充磁特性的设定方法
полиномиальная;polynomial;多项式
коэффициент базисного тока характеристики намагничивания;Base current factor of the magnetizing characteristic;磁化特性的基极电流系数
поток [φ], о.е.;Flux [φ], p.u.;通量 [φ]，p.u.
ток намагничивания [iμ], о.е.;Magnetizing current [iμ], p.u.;磁化电流 [iμ]，p.u.
ток намагничивания iμ(φ), о.е.;Magnetizing current iμ(φ), r.u.;励磁电流 iμ(φ), r.u.
эцд - трансформатор 3-фазный 2-обмоточный с расщепленной обмоткой нн (1 л. сх.);ECD - Transformer 3-phase 2-winding with split winding LV (1 l.sh.);ECD - 三相 2 绕组变压器，带分裂绕组 LV (1 l.sh.)
эцд - трансформатор 3-фазный 3-обмоточный (1 л. сх.;ECD - Transformer 3-phase 3-winding (1 l. sh.);ECD - 三相 3 绕组变压器（1 l. sh.）
номинальное напряжение обмотки сн (линейное, rms),;Rated voltage of MV winding (linear, rms), V;中压绕组额定电压（线性，rms），V
сопротивление обмотки вн [xhv, rhv], о.;HV winding resistance [Xhv, Rhv], p.u.;高压绕组电阻 [Xhv, Rhv]，p.u.
сопротивление обмотки сн [xmv, rmv], о.;MV winding resistance [Xmv, Rmv], p.;中压绕组电阻 [Xmv, Rmv]，第 17 页
напряжение короткого замыкания вн-сн, %;Short circuit voltage VN-SN,;短路电压VN-SN，
сопротивление обмотки вн* [xhv, rhv], о.;HV winding resistance* [Xhv, Rhv], p.;高压绕组电阻* [Xhv, Rhv]，第 14 页
сопротивление обмотки сн* [xmv, rmv], о.;Winding resistance MV* [Xmv, Rmv], p.u.;绕组电阻 MV* [Xmv, Rmv], p.u.
вывод нейтрали сн;MV neutral termina;MV中性端
номинальный ток обмотки сн (rms),;Rated winding current CH (rms),;额定绕组电流CH（有效值），
эц - двигатель дизельный (type simple model;EC - Diesel engine (type simple model;EC-柴油机（简单型
коэффициент усиления пропорционального звена пи-регулятора;PI proportional gain;PI比例增益
коэффициент усиления интегрального звена пи-регулятор;Integral Gain of the PI Controller;PI 控制器的积分增益
максимальный момент дизеля, о.е.;Maximum diesel torque, p.u.;最大柴油机扭矩，p.u.
минимальный момент дизеля, о.е.;Minimum diesel torque, r.u.;最小柴油机扭矩，r.u.
постоянная времени дизеля, с;Diesel time constant, s;柴油时间常数，s
начальный момент дизеля, о.е.;Diesel initial torque, r.;柴油机初始扭矩，r。
эц - турбина паровая (type ieeeg1);EC - Steam turbine (type IEEEG1);EC - 蒸汽轮机（IEEEG1 型）
эц - система возбуждения (type ieee dc1c;EC - Excitation system (type IEEE DC1C;EC - 励磁系统（IEEE DC1C 型）
эц - система возбуждения (type simple model using pi-block);EC - Excitation system (type simple model using PI-block);EC - 励磁系统（使用 PI 块的简单模型）
максимальное значение выхода пи-регулятора, о.;The maximum value of the output of the PI controller, p.;PI 控制器输出的最大值，p。
минимальное значение выхода пи-регулятора, о.;The minimum value of the output of the PI controller, p.;PI 控制器输出的最小值，p。
постоянная времени выходного канала, с;Output channel time constant, s;输出通道时间常数，s
эцд - генератор синхронный с двумя 3-фазными статорными обмотками (1 л. сх.);ECD - Synchronous generator with two 3-phase stator windings (1 HP);ECD - 具有两个三相定子绕组的同步发电机 (1 HP)
активные сопротивления ротора [rf, r1d, r1q], о.;Rotor active resistances [Rf, R1d, R1q], r.u.;转子有源电阻 [Rf、R1d、R1q]、r.u.
сопротивления обмотки статора [xσ1, xσ2, x12, rs], о.е.;Stator winding resistance [Xσ1, Xσ2, X12, Rs], p.u.;定子绕组电阻 [Xσ1, Xσ2, X12, Rs], p.u.
индуктивные сопротивления по продольной оси [xad, xσfd, xσ1d], о.е.;Inductive reactances along the longitudinal axis [Xad, Xσfd, Xσ1d], r.;沿纵轴的感抗 [Xad, Xσfd, Xσ1d], r。
индуктивные сопротивления по поперечной оси [xaq, xσ1q], о.;Inductive reactances along the transverse axis [Xaq, Xσ1q], r.u.;沿横轴的感抗 [Xaq, Xσ1q], r.u.
эцд - двигатель асинхронный 1-фазный (vbr-model;ECD - 1-phase asynchronous motor (VBR-model);ECD - 1 相异步电机（VBR 型号）
отношение чисел витков пусковой и основной обмоток;The ratio of the number of turns of the starting and main windings;起动绕组与主绕组匝数之比
параметры основной обмотки статора [lls, rs], [гн, ом];Parameters of the main stator winding [Lls, Rs], [H, Ohm];主定子绕组参数 [Lls, Rs], [H, Ohm]
параметры основной обмотки ротора [llr, rr], [гн, ом];Parameters of the main rotor winding [Llr, Rr], [H, Ohm];主转子绕组参数[Llr、Rr]、[H、Ohm]
индуктивность намагничивания основной обмотки [lm], г;Main winding magnetizing inductance [Lm], H;主绕组励磁电感 [Lm], H
параметры пусковой обмотки статора [llsa, rsa], [гн, ом];Stator starting winding parameters [Llsa, Rsa], [H, Ohm];定子起动绕组参数[Llsa、Rsa]、[H、Ohm]
вид схемы;Diagram view;图表视图
выводы основной обмотки + встроенный конденсато;Main winding terminals + built-in capacito;主绕组端子+内置电容
параметры конденсатора [c, r], [ф, ом;Capacitor parameters [C, R], [F, Ohm];电容器参数[C、R]、[F、欧姆]
скорость, при которой отключается конденсатор, о.е. (от ωр синхр.);The speed at which the capacitor is turned off, p.u. (from ωр sync.;电容器关闭的速度，p.u. （来自 ωр 同步。
коэффициент вязкого трения, н·м·;Viscous friction coefficient, N m s;粘性摩擦系数，N·m·s
эцд - двигатель асинхронный (vbr-model, 1 л. сх.;ECD - Asynchronous motor (VBR-model, 1 HP);ECD - 异步电机（VBR 型号，1 HP）
расчетные значения;Estimated values;估计值
число контуров на роторе;Number of circuits on the rotor;转子上的电路数量
эцд - двигатель постоянного тока с постоянными магнитами;ECD - Permanent Magnet DC Motor;ECD - 永磁直流电机
номинальная мощность на валу, вт;Rated power on the shaft, W;轴上的额定功率，W
момент инерции, кг·м^2;Moment of inertia, kg m^2;转动惯量，kg·m^2
