Источники   ;   Sources   ;   来源
Номинальные напряжения обмоток (rms), В   ;   Rated winding voltages (rms), V(   ;   额定绕组电压（有效值），V（
Индуктивности рассеяния обмоток [Ll], Гн   ;   Winding leakage inductance [Ll], H   ;   绕组漏感[Ll]，H
Активные сопротивления обмоток [R], Ом   ;   Winding resistances [R], OhmE   ;   绕组电阻 [R]，OhmE
Индуктивность и сопротивление ветви намагничивания [Lm, Rm], [Гн, Ом]F   ;   Inductance and resistance of the magnetizing branch [Lm, Rm], [H, Ohm]   ;   磁化支路的电感和电阻 [Lm, Rm], [H, Ohm]
о.е   ;   o.u.6   ;   o.u.6
ЭЦС - Трансформатор 3-фазный 2-обмоточный (12 выводов)   ;   ECS - Transformer 3-phase 2-winding (12 pins)4   ;   ECS - 变压器 3 相 2 绕组（12 针）4
ЭЦС - Трансформатор 3-фазный 2-обмоточный (1 л. сх.)   ;   ECS - Transformer 3-phase 2-winding (1 l. sh.)   ;   ECS - 三相 2 绕组变压器（1 l. sh.）
Вывод нейтрали ВН   ;   HV neutral terminal   ;   高压中性线端子
Вывод нейтрали НН   ;   LV neutral terminal3   ;   低压中性端子3
Сопротивление ветви намагничивания [Xm1, Rm1], о.е.0   ;   Magnetization branch resistance [Xm1, Rm1], p.u.H   ;   磁化支路电阻 [Xm1, Rm1], p.u.H
Сопротивление намагничивания нулевой последовательности [Xm0, Rm0], о.е.7   ;   Zero-sequence magnetization resistance [Xm0, Rm0], p.u.G   ;   零序磁化电阻[Xm0，Rm0]，p.u.G
Сопротивление намагничивания прямой последовательности [Xm1, Rm1], о.е.9   ;   Positive sequence magnetizing resistance [Xm1, Rm1], p.u.O   ;   正序励磁电阻[Xm1，Rm1]，p.u.O
ЭЦС - Трансформатор 3-фазный 2-обмоточный с расщепленной обмоткой НН (1 л. сх.)E   ;   ECS - Transformer 3-phase 2-winding with a split winding LV (1 l.sh.)G   ;   ECS - 三相 2 绕组变压器，带分裂绕组 LV (1 l.sh.)G
ЭЦС - Автотрансформатор силовой 3-фазный 3-обмоточный c РПН (1 л. сх.)Q   ;   ETsS - Autotransformer power 3-phase 3-winding with on-load tap changer (1 l.sh.)   ;   ETsS - 带有载分接开关的三相 3 绕组自耦变压器电源 (1 l.sh.)
ЭЦС - Выпрямитель 3-фазный (1 л. сх.)   ;   ECS - Rectifier 3-phase (1 l. sh.)   ;   ECS - 三相整流器（1 l. sh.）
ЭЦС - Инвертор автономный 3-фазный (1 л. сх.)(   ;   ECS - Autonomous 3-phase inverter (1 hp)   ;   ECS - 自主三相逆变器（1 hp）
ЭЦС - Мультиметр   ;   ECS - Multimeter   ;   ECS - 万用表
Ток комплексный (rms)   ;   Current complex (rms)   ;   电流复数 (rms)
Ток (модуль, rms)   ;   Current (module, rms)   ;   电流（模块，有效值）
Угол тока   ;   Current angle   ;   当前角度
Напряжение комплексное (rms)   ;   Voltage complex (rms)   ;   电压复数 (rms)
Напряжение (модуль, rms)   ;   Voltage (module, rms)   ;   电压（模块，有效值）
Угол напряжения   ;   Voltage angle   ;   电压角
Мощность активная   ;   Active power   ;   有功功率
Мощность реактивная   ;   Reactive power   ;   无功功率
Мощность полная   ;   Full power   ;   全功率
Ток (inst)   ;   Current (inst)   ;   当前（实例）
нет   ;   No   ;   不
Напряжение (inst)   ;   Voltage (inst)   ;   电压（瞬时）
Шаг дискретизации, с   ;   Discretization step, sB   ;   离散化步骤，sB
ЭЦС - Измеритель линейных напряжений идеальный 3-фазный (1 л. сх.)   ;   ECS - Ideal 3-phase line voltage meter (1 hp)   ;   ECS - 理想的三相线电压表 (1 hp)
ЭЦС - Вольтметр идеальный 3-фазный (1 л. сх.))   ;   ETsS - ideal 3-phase voltmeter (1 l. sh.)   ;   ETsS - 理想三相电压表（1 l. sh.）
ЭЦС - Вольтметр идеальный   ;   ECS - ideal voltmeter   ;   ECS-理想电压表
ЭЦС - Амперметр идеальный   ;   ECS - ideal ammeter   ;   ECS-理想电流表
ЭЦС - Амперметр идеальный 3-фазный (1 л. сх.)   ;   ECS - ideal 3-phase ammeter (1 l. sh.)   ;   ECS - 理想三相电流表（1 l. sh.）
ЭЦС - Источник тока 3-фазный (1 л. сх.)   ;   ECS - 3-phase current source (1 HP)   ;   ECS - 三相电流源 (1 HP)
Действительная составляющая тока фазы A, А   ;   The real component of the phase A current, A   ;   A 相电流的实部，A
Мнимая составляющая тока фазы A, А)   ;   Imaginary component of phase A current, A   ;   A 相电流的虚部，A
Задать ток через порт   ;   Set current through port   ;   通过端口设置电流
ЭЦС - Источник тока   ;   ECS - Current source   ;   ECS - 电流源
Угол, эл.гр   ;   Angle, el.gr   ;   角度，el.gr
Действительная составляющая тока, А   ;   Real component of current, A   ;   电流实部，A
Мнимая составляющая тока, А   ;   Imaginary current component, A   ;   虚电流分量，A
ЭЦС - Источник напряжения   ;   ECS - Voltage source   ;   ECS - 电压源
Действительная составляющая напряжения, В   ;   Real component of voltage, V   ;   电压实部，V
Мнимая составляющая напряжения, В   ;   Imaginary voltage component, V   ;   虚部电压分量，V
ЭЦС - Источник напряжения 3-фазный (1 л. сх.)   ;   ECS - 3-phase voltage source (1 HP)0   ;   ECS - 三相电压源 (1 HP)0
Действительная составляющая напряжения фазы A, В   ;   Real component of phase A voltage, V(   ;   A 相电压实部，V(
Мнимая составляющая напряжения фазы A, В)   ;   Imaginary component of phase A voltage, V   ;   A 相电压的虚部，V
ЭЦС - Линия электропередачи 3-фазная (1 л. сх.)   ;   ECS - Power line 3-phase (1 l. sh.)   ;   ECS - 三相电源线（1 l. sh.）
Схема секции   ;   Section scheme   ;   剖面图
П-секция   ;   P-section   ;   P型截面
Удельное сопротивление прямой последовательности [r1, x1], Ом/км   ;   Positive sequence resistivity [r1, x1], Ohm/kmA   ;   正序电阻率 [r1, x1], Ohm/kmA
Удельное сопротивление нулевой последовательности [r0, x0], Ом/км   ;   Zero sequence resistivity [r0, x0], Ohm/km   ;   零序电阻率 [r0, x0], Ohm/km
Удельная проводимость прямой последовательности [g1, b1], См/км   ;   Positive sequence conductivity [g1, b1], Sm/km   ;   正序电导率[g1，b1]，Sm/km
Удельная проводимость нулевой последовательности [g0, b0], См/км   ;   Zero sequence conductivity [g0, b0], Sm/km   ;   零序电导率[g0,b0],Sm/km
Модель rms   ;   rms model1   ;   均方根模型1
Активное сопротивление в ветвях конденсаторов, Ом   ;   Active resistance in capacitor branches, Ohm   ;   电容器支路的有源电阻，欧姆
Число секций   ;   Number of sections   ;   节数
Т-секция   ;   T-section   ;   T型截面
Распределённые параметры   ;   Distributed Options   ;   分布式选项
ЭЦС - Линия электропередачи   ;   ECS - Power line   ;   ECS-电源线
Удельная индуктивность, Гн/км   ;   Specific inductance, H/km   ;   比电感，H/km
Удельная ёмкость, Ф/км   ;   Specific capacity, f/km   ;   比容量，f/km
Удельное сопротивление утечки, Ом·км   ;   Specific leakage resistance, Ohm kmF   ;   比漏电阻，Ohm kmF
ЭЦС - Нагрузка статическая 3-фазная (P+jQ, СХН) управляемая (1 л. сх.)   ;   ECS - Static 3-phase load (P + jQ, SHN) controlled (1 l.sh.))   ;   ECS - 静态三相负载（P + jQ，SHN）控制（1 l.sh.））
Номинальное напряжение (линейное, rms), В   ;   Rated voltage (linear, rms), V)   ;   额定电压（线性，rms），V）
Минимальное напряжение (линейное, rms), В   ;   Minimum voltage (linear, rms), V   ;   最小电压（线性，有效值），V
Вид схемы замещения   ;   Type of equivalent circuit   ;   等效电路类型
последовательная   ;   consistent   ;   持续的
параллельная   ;   parallel2   ;   并行2
ЭЦС - Нагрузка статическая (P+jQ, СХН) управляемая   ;   ECS - Static load (P + jQ, SHN) controlled   ;   ECS - 静态负载（P + jQ，SHN）控制
ЭЦС - Нагрузка RLC 3-фазная (1 л. сх.)   ;   ECS - Load RLC 3-phase (1 HP)1   ;   ECS - 负载 RLC 三相 (1 HP)1
Номинальная индуктивная реактивная мощность, квар   ;   Rated inductive reactive power, kvar   ;   额定感性无功功率，kvar
Номинальная емкостная реактивная мощность, квар   ;   Rated capacitive reactive power, kvar   ;   额定容性无功功率，kvar
Вид нагрузки   ;   Type of load   ;   负载类型
Cопротивление, Ом   ;   Resistance, Ohm   ;   电阻，欧姆
Схема соединений   ;   Connection diagram   ;   连接图
ЭЦС - Нагрузка RLC   ;   ECS - Load RLC3   ;   ECS - 加载 RLC3
ЭЦС - RL-цепь с взаимоиндукцией 3-фазная (1 л. сх.)8   ;   ECS - RL-circuit with mutual induction 3-phase (1 l.sh.)4   ;   ECS - 具有互感三相 (1 l.sh.)4 的 RL 电路
Сопротивление прямой последовательности [X1, R1], Ом   ;   Positive sequence resistance [X1, R1], Ohm5   ;   正序电阻[X1，R1]，Ohm5
Сопротивление нулевой последовательности [X0, R0], Ом   ;   Zero sequence resistance [X0, R0], Ohm   ;   零序电阻[X0，R0]，欧姆
ЭЦС - RL-цепь с взаимоиндукцией (2-х контурная)   ;   ECS - RL-circuit with mutual induction (2-loop)7   ;   ECS - 具有互感的 RL 电路（2 回路）7
Индуктивность и сопротивление 1-го контура [L1, R1], Ом   ;   Inductance and resistance of the 1st circuit [L1, R1], Ohm7   ;   第一电路的电感和电阻[L1，R1]，Ohm7
Индуктивность и сопротивление 2-го контура [L2, R2], Ом   ;   Inductance and resistance of the 2nd circuit [L2, R2], Ohm3   ;   第二电路的电感和电阻[L2，R2]，Ohm3
Взаимная индуктивность и сопротивление [Lm, Rm], Ом   ;   Mutual inductance and resistance [Lm, Rm], Ohm   ;   互感和电阻 [Lm, Rm], Ohm
ЭЦС - RLC-цепь 3-фазная (1 л. сх.)   ;   ECS - RLC-circuit 3-phase (1 l. sh.)   ;   ECS - RLC 电路 3 相（1 l. sh.）
ЭЦС - RLC-цепь управляемая (rms-only)   ;   ECS - RLC-controlled circuit (rms-only)   ;   ECS - RLC 控制电路（仅 rms）
Коэффициенты пересчета тока и мощности   ;   Current and power conversion factors   ;   电流和功率转换系数
Задать RLC через порты   ;   Set RLC via ports   ;   通过端口设置RLC
ЭЦС - RLC-цепь   ;   ECS - RLC circuit   ;   ECS-RLC电路
ЭЦС - Контейнер метода расчёта   ;   EDS - Calculation Method Container   ;   EDS - 计算方法容器
В комплесных числах   ;   In complex numbers   ;   在复数中
ЭЦС - Параметры контура   ;   ECS - Circuit parameters   ;   ECS-电路参数
ЭЦС - Приёмник частоты   ;   ECS - Frequency Receiver   ;   ECS - 频率接收器
ЭЦС - Задатчик частоты   ;   ECS - Frequency selector1   ;   ECS - 频率选择器1
ЭЦС - Шина - преобразователь схемы 1 - 3 линейная   ;   ECS - Bus - circuit converter 1 - 3 linear   ;   ECS - 总线 - 电路转换器 1 - 3 线性
ЭЦС - Нулевой потенциал 3-фазный (1 л. сх.)   ;   ECS - Zero potential 3-phase (1 HP)   ;   ECS - 零电位三相 (1 HP)
ЭЦС - Нулевой потенциал   ;   ECS - Zero potential   ;   ECS - 零电位
ЭЦ - Четырёхполюсник   ;   EC - Four-pole   ;   EC - 四极
ЭЦ - Вольтметр   ;   EC - Voltmeter   ;   EC-电压表
ЭЦ - Амперметр   ;   EC - Ammeter   ;   EC-电流表
Мнемосхема   ;   mnemonic   ;   助记符
ЭЦД - RLC-цепь 3-фазная (1 л. сх.)   ;   ECD - RLC circuit 3-phase (1 l. sh.)   ;   ECD - RLC 电路 3 相（1 l. sh.）
Основные   ;   Main   ;   主要的
ЭЦД - RL-цепь с взаимоиндукцией (2-х контурная)   ;   ECD - RL-circuit with mutual induction (2-loop)   ;   ECD - 具有互感的 RL 电路（2 回路）
ЭЦД - Индуктивность нелинейная   ;   ECD - Non-linear inductance   ;   ECD - 非线性电感
Способ задания характеристики   ;   Characteristic setting method   ;   特性设定方法
кусочно-линейная   ;   piecewise linear   ;   分段线性
А, Вб   ;   A, Wb   ;   甲、白血球
Ток [iμ]   ;   Current [iμ]   ;   电流[iμ]
Потокосцепление [φ]   ;   Flux linkage [φ]   ;   磁链 [φ]
Начальное потокосцепление   ;   Initial flux linkage   ;   初始磁链
ЭЦД - Нагрузка RLC   ;   ECD - Load RLC   ;   ECD - 负载 RLC
ЭЦД - Нагрузка RLC 3-фазная (1 л. сх.)   ;   ECD - Load RLC 3-phase (1 HP)   ;   ECD - 负载 RLC 三相 (1 HP)
ЭЦД - Фильтрокомпенсирующее устройство 3-фазное (1 л. сх.)2   ;   ECD - 3-phase filter compensating device (1 l.sh.)   ;   ECD - 三相滤波补偿装置 (1 l.sh.)
Номинальные параметры   ;   Ratings   ;   评级
Вид фильтра   ;   Filter type   ;   过滤器类型
узкополосный   ;   narrowband   ;   窄带
Фильтруемая частота, Гц   ;   Filtered frequency, Hz   ;   滤波频率，Hz
Добротность фильтра   ;   filter quality factor   ;   过滤器品质因数
Номинальная емкостная реактивная мощность, вар   ;   Rated capacitive reactive power, var   ;   额定容性无功功率，var
Расчетная ёмкость C, Ф   ;   Estimated capacity C, F   ;   预计容量C、F
Расчетное сопротивление R, Ом   ;   Design resistance R, Ohm   ;   设计电阻 R，欧姆
Расчетная индуктивность L, Гн   ;   Estimated inductance L, H(   ;   估计电感L,H(
Задать параметры схемы замещения вручную   ;   Set equivalent circuit parameters manually   ;   手动设置等效电路参数
широкополосный   ;   broadband   ;   宽带
ЭЦД - Линия электропередачи   ;   ECD - Power line   ;   ECD-电源线
Удельное сопротивление утечки, Ом*км   ;   Specific leakage resistance, Ohm*km0   ;   比漏电阻，Ohm*km0
Активное сопротивлние в ветвях кондерсаторов, Ом4   ;   Active resistance in the branches of capacitors, Ohm   ;   电容器支路中的有源电阻，欧姆
ЭЦД - Линия электропередачи 3-фазная (1 л. сх.)   ;   ECD - Power line 3-phase (1 l. sh.)   ;   ECD - 三相电源线（1 l. sh.）
ЭЦД - Ограничитель перенапряжений нелинейный   ;   ECD - Non-linear surge arrester   ;   ECD - 非线性避雷器
Одиноч. безынерц. схема   ;   single inertialess scheme   ;   单一无惯性方案
Варистор RU1   ;   Varistor RU1   ;   压敏电阻RU1
Массив коэффициентов p   ;   Array of p coefficients   ;   p 系数数组
Массив показателей степени q   ;   Array of exponents q   ;   指数 q 数组
Нормирующее напряжение, В   ;   Normalizing voltage, V   ;   归一化电压，V
Ток начала линейности ВАХ, А   ;   The current of the beginning of the linearity of the VAC, A   ;   VAC 线性开始时的电流，A
Одиноч. инерц. схема   ;   single inertia scheme   ;   单惯性方案
Схема IEEE   ;   IEEE scheme   ;   IEEE方案
ЭЦД - Ограничитель перенапряжений нелинейный 3-фазный (1 л. сх.)   ;   ECD - Non-linear 3-phase surge arrester (1 hp)   ;   ECD - 非线性三相避雷器 (1 hp)
ЭЦД - Фотоэлемент полупроводниковый   ;   ECD - Semiconductor photocell   ;   ECD - 半导体光电管
Число последовательно соединенных элементов   ;   Number of series-connected elements   ;   串联元件数
Максимальная мощность (Pmax), Вт   ;   Maximum power (Pmax), W   ;   最大功率 (Pmax)，W
Ток насыщения, А   ;   Saturation current, A   ;   饱和电流，A
Коэффициент эмиссии   ;   Emission factor   ;   排放系数
Последовательное сопротивление, Ом   ;   Series resistance, Ohm   ;   串联电阻，欧姆
Параллельное сопротивление, Ом   ;   Parallel resistance, Ohm   ;   并联电阻，欧姆
Температурные зависимости   ;   Temperature dependencies   ;   温度依赖性
Параллельное сопротивление*, Ом   ;   Parallel resistance*, Ohm   ;   并联电阻*，欧姆
Ток при Pmax, А   ;   Current at Pmax, A   ;   Pmax 时的电流，A
Напряжение при Pmax, В   ;   Voltage at Pmax, V   ;   Pmax 电压，V
Напряжение холостого хода, В   ;   Open circuit voltage, V   ;   开路电压，V
Ток насыщения*, А   ;   Saturation current*, A   ;   饱和电流*，A
Последовательное сопротивление*, Ом   ;   Series resistance*, Ohm5   ;   串联电阻*，Ohm5
Температурный коэффициент параллельного сопротивления   ;   Temperature coefficient of parallel resistance   ;   并联电阻温度系数
Номинальная температура, °C   ;   Rated temperature, °C7   ;   额定温度，°C7
Температурный коэффициент тока короткого замыкания, %/K5   ;   Temperature coefficient of short circuit current, %/K(   ;   短路电流温度系数，%/K(
Температурный коэффициент тока насыщения   ;   Temperature coefficient of saturation current   ;   饱和电流温度系数
Кремний   ;   Silicon9   ;   硅9
Температурный коэффициент последовательного сопротивления   ;   Temperature coefficient of series resistance   ;   串联电阻温度系数
Арсенид галлия   ;   gallium arsenide   ;   砷化镓
ЭЦД - Аккумулятор электрический   ;   ECD - Electric battery   ;   ECD-电池
Номинальная ёмкость, Ач   ;   Rated capacity, Ah   ;   额定容量，Ah
Разрядная характеристика   ;   Discharge characteristic   ;   放电特性
Параметры постоянного подзаряда   ;   Floating charge options   ;   浮动充电选项
Постоянная времени, с   ;   Time constant, s   ;   时间常数，s
Коэффициент запаса ёмкости   ;   Capacity safety factor   ;   容量安全系数
Ток при разряде длительностью t, А   ;   Current during discharge duration t, A   ;   放电持续时间 t 期间的电流，A
Ток постоянного подзаряда, А/(100 Ач)   ;   Continuous charge current, A / (100 Ah)   ;   连续充电电流，A/（100 Ah）
Напряжение постоянного подзаряда, В   ;   Constant charge voltage, V8   ;   恒定充电电压，V8
ЭЦД - Измеритель линейных напряжений 3-фазный (1 л. сх.)   ;   ECD - Line voltage meter 3-phase (1 l.sh.)   ;   ECD - 三相线电压表（1 l.sh.）
ЭЦД - Вольтметр 3-фазный (1 л. сх.)   ;   ECD - Voltmeter 3-phase (1 HP)   ;   ECD - 三相电压表 (1 HP)
Диод   ;   Diode   ;   二极管
Тиристор   ;   Thyristor   ;   晶闸管
ЭЦД - Диод силовой (spice model)   ;   ECD - Power diode (spice model)   ;   ECD - 功率二极管（spice 模型）
экспоненциальная   ;   exponential   ;   指数
Сопротивление утечки перехода, Ом   ;   Transition leakage resistance, Ohm   ;   过渡漏电阻，欧姆
Время переноса заряда, с   ;   Charge transfer time, s)   ;   电荷转移时间，s)
Барьерная ёмкость при нулевом смещении, Ф   ;   Barrier capacitance at zero displacement, F   ;   零位移时的势垒电容，F
Контактная разность потенциалов, В   ;   Contact potential difference, V   ;   接触电位差，V
Коэффициент плавности перехода   ;   Smooth transition factor   ;   平滑过渡因子
Коэффициент нелинейности барьерной ёмкости   ;   Barrier capacitance non-linearity coefficient   ;   势垒电容非线性系数
Ширина запрещенной зоны, эВ   ;   Band gap, eV8   ;   带隙，eV8
Коэффициенты температурной зависимости EG, [TEG1, TEG2]5   ;   Temperature dependence coefficients EG, [TEG1, TEG2]   ;   9
Температурный экспоненциальный коэффициент тока насыщения9   ;   Temperature exponential coefficient of saturation current   ;   饱和电流温度指数系数
Температурный коэффициент последовательного сопротивления, 1/°С2   ;   Temperature coefficient of series resistance, 1/°С   ;   串联电阻温度系数，1/°С
Обратное напряжение пробоя, В   ;   Reverse breakdown voltage, V   ;   反向击穿电压，V
Начальный ток пробоя, А   ;   Initial breakdown current, A   ;   初始击穿电流，A
Температурный коэффициент обратного напряжения пробоя, 1/°С   ;   Temperature coefficient of reverse breakdown voltage, 1/°С   ;   反向击穿电压温度系数，1/°С
Номинальная температура, °С   ;   Rated temperature, °С   ;   额定温度，°С
DC режим   ;   DC mode7   ;   直流模式7
ЭЦД - Транзистор биполярный силовой (BJT) (инерционный)   ;   ECD - Bipolar power transistor (BJT) (inertial)   ;   ECD - 双极功率晶体管 (BJT)（惯性）
Структура   ;   Structure   ;   结构
Коэффициент усиления тока в нормальном режиме в схеме с ОЭ   ;   Current amplification factor in normal mode in a circuit with OE   ;   具有 OE 的电路中正常模式下的电流放大系数
Коэффициент эмиссии для нормального режима   ;   Emission factor for normal mode   ;   正常模式的排放因子
Напряжение Эрли в нормальном режиме, В   ;   Early voltage in normal modeI   ;   正常模式下的早期电压
Ток начала спада зависимости BF от тока коллектора в нормальном режиме, Аo   ;   The current of the beginning of the decay of the dependence of BR on the emitter current in the inverse mode, A   ;   反模式下 BR 对发射极电流的依赖性衰减开始时的电流，A
Ток насыщения утечки перехода база-эмиттер, А7   ;   Base-collector transition leakage saturation current, A5   ;   基极-集电极过渡漏饱和电流，A5
Коэффициент эмиссии тока утечки перехода база-эмиттер7   ;   Base-collector junction leakage current emission factor9   ;   基极-集电极结漏电流发射因子9
Коэффициент усиления тока в инверсном режиме в схеме с ОЭA   ;   Current amplification factor in inverse mode in a circuit with OE)   ;   具有 OE 的电路中反模式下的电流放大系数）
Коэффициент эмиссии для инверсного режима   ;   Emission factor for inverse mode   ;   反向模式的发射因子
Напряжение Эрли в инверсном режиме, В   ;   Early voltage in inverse mode, VF   ;   反向模式下的早期电压，VF
Ток начала спада зависимости BR от тока эмиттера в инверсном режиме, Аo   ;   The current of the beginning of the decay of the dependence of BR on the emitter current in the inverse mode, A   ;   反模式下 BR 对发射极电流的依赖性衰减开始时的电流，A
Ток насыщения утечки перехода база-коллектор, А7   ;   Base-collector transition leakage saturation current, A7   ;   基极-集电极过渡漏饱和电流，A7
Коэффициент эмиссии тока утечки перехода база-коллектор7   ;   Base-collector junction leakage current emission factor   ;   基极-集电极结漏电流发射因子
Сопротивление коллектора, Ом   ;   Collector resistance, Ohm   ;   集电极电阻，欧姆
Сопротивление эмиттера, Ом   ;   Emitter resistance, Ohm   ;   发射极电阻，欧姆
Сопротивление базы (максимальное), Ом   ;   Base resistance (maximum), Ohm4   ;   基极电阻（最大），Ohm4
Минимальное сопротивление базы при больших токах, Ом   ;   Minimum base resistance at high currents, OhmN   ;   高电流下的最小基极电阻，欧姆
Ток базы, при котором RB уменьшается на 50% полного перепада между RB и RBM, АX   ;   Base current at which RB is reduced by 50% of the total difference between RB and RBM, A7   ;   RB 减少 RB 与 RBM 之间总差值 50% 时的基极电流，A7
Время переноса заряда через базу в активном режиме, сек9   ;   Charge transfer time through the base in active mode, secL   ;   主动模式下通过基极的电荷传输时间，secL
Ток, характеризующий зависимость TF от тока коллектора при больших токах, АX   ;   Current characterizing the dependence of TF on the collector current at high currents, AH   ;   电流表征高电流下 TF 对集电极电流的依赖性，AH
Напряжение, характеризующее зависимость TF от смещения база-коллектор, ВI   ;   Voltage characterizing the dependence of TF on the base-collector bias, VC   ;   表征 TF 对基极-集电极偏置 VC 依赖性的电压
Коэффициент, определяющий зависимость TF от смещения база-коллекторM   ;   Coefficient that determines the dependence of TF on the base-collector offset8   ;   确定 TF 对基极-集电极偏移的依赖性的系数8
Время переноса заряда через базу в инверсном режиме, сек   ;   Charge transfer time through the base in inverse mode, sec   ;   反向模式下通过底座的电荷传输时间，秒
Емкость коллекторного перехода, Ф   ;   Collector junction capacitance, F   ;   集电极结电容，F
Коэффициент плавности коллекторного перехода   ;   Collector junction smoothness factor9   ;   集电极结平滑系数9
Контактная разность потенциалов коллекторного перехода, В9   ;   Contact potential difference of the collector junction, V   ;   集电极结接触电位差，V
Емкость эмиттерного перехода, Ф   ;   Emitter junction capacitance, F   ;   发射极结电容，F
Коэффициент плавности эмиттерного перехода7   ;   The coefficient of smoothness of the emitter transition7   ;   发射极过渡的平滑系数7
Контактная разность потенциалов эмиттерного перехода, В7   ;   Contact potential difference of the emitter junction, VD   ;   发射结接触电位差，VD
Коэффициент нелинейности барьерных емкостей прямосмещённых переходовL   ;   Nonlinearity coefficient of barrier capacitances of forward-biased junctions>   ;   正向偏置结势垒电容非线性系数>
Температурный коэффициент коэффициентов усиления BF и BR, 1/°С0   ;   Temperature coefficient of gains BF and BR, 1/°C   ;   增益 BF 和 BR 的温度系数，1/°C
Температурный экспоненциальный коэффициент тока насыщения IS   ;   Temperature exponential coefficient of saturation current ISA   ;   饱和电流温度指数系数ISA
ЭЦД - Транзистор полевой силовой (MOSFET n-channel) (инерционный)   ;   ECD - Field power transistor (MOSFET n-channel) (inertial)   ;   ECD - 场功率晶体管（MOSFET n 沟道）（惯性）
Пороговое напряжение, В   ;   Threshold voltage, V   ;   阈值电压，V
Параметр модуляции длины канала   ;   Channel Length Modulation Parameter   ;   通道长度调制参数
Коэффициент пропорциональности   ;   Proportionality factor   ;   比例系数
Сопротивление истока, Ом   ;   Source resistance, Ohm   ;   源电阻，欧姆
Сопротивление стока, Ом   ;   Drain resistance, Ohm   ;   漏极电阻，欧姆
Сопротивление затвора, Ом   ;   Gate resistance, Ohm   ;   栅极电阻，欧姆
Сопротивление утечки сток-исток, Ом   ;   Drain-source leakage resistance, Ohm   ;   漏源漏电阻，欧姆
Поверхностный потенциал сильной инверсии, В"(   ;   Surface potential of strong inversion, V3   ;   强反转表面电势，V3
Температурный экспоненциальный коэффициент для BETA   ;   Temperature exponential coefficient for BETA5   ;   BETA5 的温度指数系数
Температурный коэффициент порогового напряжения, 1/°С2   ;   Temperature coefficient of threshold voltage, 1/°C   ;   阈值电压温度系数，1/°C
Ёмкости   ;   Capacities   ;   产能
Параметры диода   ;   Diode parameters   ;   二极管参数
Ёмкость оксидного слоя затвора, Ф   ;   Gate oxide capacitance, F   ;   栅极氧化电容，F
Модель емкостей   ;   Capacity model   ;   容量型号
Напряжение сток-исток [Uds], В   ;   Drain-source voltage [Uds], V   ;   漏源电压 [Uds]，V
Входная ёмкость [Ciss], Ф   ;   Input capacitance [Ciss], F   ;   输入电容 [Ciss], F
Выходная ёмкость [Coss], Ф   ;   Output capacitance [Coss], F   ;   输出电容 [Coss], F
Обратная переходная ёмкость [Crss], Ф   ;   Reverse transfer capacitance [Crss], F   ;   反向传输电容 [Crss], F
ЭЦД - Транзистор IGBT (n-channel) (инерционный, MOSFET + BJT)6   ;   ECD - Transistor IGBT (n-channel) (slow, MOSFET + BJT)   ;   ECD - 晶体管 IGBT（n 沟道）（慢速，MOSFET + BJT）
Параметры MOSFET   ;   MOSFET parameters   ;   MOSFET参数
Параметры BJT   ;   BT parameters   ;   蓝牙参数
Общее сопротивление в цепи эмиттера, Ом   ;   Total resistance in the emitter circuit, Ohm   ;   发射极电路中的总电阻，欧姆
ЭЦД - Трансформатор 1-фазный многообмоточный   ;   ECD - Transformer 1-phase multi-winding   ;   ECD - 变压器 1 相多绕组
таблица iμ(φ)   ;   iμ(φ) table   ;   iμ(φ)表
Потокосцепление [φ], Вб   ;   Flux linkage [φ], Wb   ;   磁链 [φ]，Wb
Ток [iμ], А   ;   Current [iμ], A4   ;   电流 [iμ]，A4
ЭЦД - Трансформатор 3-фазный 2-обмоточный (1 л. сх.)   ;   ECD - Transformer 3-phase 2-winding (1 l. sh.)   ;   ECD - 三相 2 绕组变压器（1 l. sh.）
полином iμ(φ)   ;   polynomial iμ(φ)   ;   多项式 iμ(φ)
Способ задания характеристики намагничивания1   ;   Method for setting the magnetizing characteristic   ;   充磁特性的设定方法
полиномиальная   ;   polynomial8   ;   多项式
Коэффициент базисного тока характеристики намагничивания5   ;   Base current factor of the magnetizing characteristic   ;   励磁特性的基极电流系数
Поток [φ], о.е   ;   Flux [φ], p.u   ;   通量 [φ], p.u
Ток намагничивания [iμ], о.е   ;   Magnetizing current [iμ], p.u   ;   磁化电流 [iμ]，p.u
Ток намагничивания iμ(φ), о.е   ;   Magnetizing current iμ(φ), r.u.O   ;   励磁电流 iμ(φ), r.u.O
ЭЦД - Трансформатор 3-фазный 2-обмоточный с расщепленной обмоткой НН (1 л. сх.)C   ;   ECD - Transformer 3-phase 2-winding with split winding LV (1 l.sh.)5   ;   ECD - 三相 2 绕组变压器，带分裂绕组 LV (1 l.sh.)5
ЭЦД - Трансформатор 3-фазный 3-обмоточный (1 л. сх.)   ;   ECD - Transformer 3-phase 3-winding (1 l. sh.)4   ;   ECD - 三相 3 绕组变压器（1 l. sh.）4
Номинальное напряжение обмотки СН (линейное, rms), В   ;   Rated voltage of MV winding (linear, rms), V)   ;   中压绕组额定电压（线性，rms），V)
Сопротивление обмотки ВН [Xhv, Rhv], о.е   ;   HV winding resistance [Xhv, Rhv], p.u.)   ;   高压绕组电阻 [Xhv, Rhv], p.u.)
